team1,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush
49ers,21.818181818181817,5.636363636363637,43.81818181818182,0.4420207317934591,0.3484848484848485,0.693542794619037,0.0,0.45454545454545453,0.9090909090909091,254.54545454545453,13.818181818181818,0.6621212121212121,94.81818181818181,6.454545454545454,26.818181818181817,0.20189287836346656,10.363636363636363,63.81818181818182,349.3636363636364,1.3636363636363635,6.9,5.490909090909091,3.5818181818181816
Bears,20.7,8.0,64.1,0.4003878066378066,0.425,0.5980704519996716,0.1,0.2,0.4,227.2,10.9,0.5833333333333333,146.6,8.4,30.2,0.12042771883289123,11.3,64.9,373.8,0.6,6.63,5.7700000000000005,4.779999999999999
Bengals,19.1,5.5,38.5,0.4057864357864358,0.4,0.6300862017538026,0.1,0.5,1.1,225.7,11.5,0.6066666666666667,81.4,5.2,19.1,0.1611141490088858,10.8,58.7,307.1,1.6,5.4399999999999995,5.09,4.15
Bills,22.4,6.8,56.3,0.4492496392496393,0.3,0.6899178739290941,0.0,0.5,0.7,239.8,12.1,0.6214285714285714,147.6,7.9,30.1,0.24420502983802214,10.6,62.0,387.4,1.2,7.5,6.2700000000000005,4.86
Broncos,18.818181818181817,8.454545454545455,80.27272727272727,0.3952949827949828,0.22727272727272727,0.6129267174185504,0.0,0.36363636363636365,0.7272727272727273,213.0,10.727272727272727,0.5348484848484848,122.27272727272727,6.2727272727272725,26.454545454545453,0.15411255411255406,11.727272727272727,62.90909090909091,335.27272727272725,1.0909090909090908,5.890909090909091,5.327272727272727,4.581818181818182
Browns,16.7,6.8,53.8,0.3089619775649187,0.4333333333333333,0.5722697441447442,0.2,0.2,0.9,159.4,8.2,0.5166666666666666,98.0,6.2,24.7,0.1537973460788163,11.4,63.6,257.4,1.1,4.14,4.04,4.0
Buccaneers,19.6,5.8,46.7,0.3906281218781219,0.42333333333333334,0.6419826826331942,0.2,0.4,0.3,222.2,10.6,0.52,110.0,6.7,26.4,0.13581232492997197,11.3,62.4,332.2,0.7,6.44,5.34,4.09
Cardinals,20.1,7.8,57.0,0.44505952380952374,0.33999999999999997,0.6708946400288943,0.1,0.7,0.6,227.8,12.5,0.5766666666666667,105.7,5.8,24.1,0.13471245163105625,10.2,65.0,333.5,1.3,5.57,5.14,4.33
Chargers,20.181818181818183,6.909090909090909,51.90909090909091,0.4547481707241065,0.4621212121212121,0.6609465506228642,0.0,0.36363636363636365,0.8181818181818182,231.54545454545453,11.545454545454545,0.4426406926406926,115.72727272727273,7.0,25.454545454545453,0.2506471045768579,10.090909090909092,64.0909090909091,347.27272727272725,1.1818181818181819,6.036363636363637,5.390909090909091,4.763636363636364
Chiefs,22.4,6.9,57.7,0.4128083028083028,0.55,0.6441801605626867,0.0,0.0,0.6,248.9,13.0,0.635,115.3,7.8,25.9,0.15190993788819873,9.4,64.0,364.2,0.6,6.58,5.7,4.61
