team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_possession,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_possession,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush,spread
Cardinals,Saints,19,9,54,0.46153846153846156,0.0,0.7241379310344828,0,0,0,130,11,33:46,0.6666666666666666,146,5,27,0.15151515151515152,9,61,276,0,3.8,4.5,5.4,21,13,89,0.35714285714285715,0.5,0.5869565217391305,0,0,0,208,12,26:14,0.25,107,5,22,0.16666666666666666,10,69,315,0,4.4,4.6,4.9,-7
Cardinals,Panthers,16,12,96,0.3333333333333333,1.0,0.68,1,0,1,211,10,26:45,0.5,82,5,22,0.1111111111111111,8,48,293,1,8.1,6.1,3.7,26,7,83,0.3333333333333333,0.75,0.6363636363636364,0,1,1,303,19,33:15,0.75,49,4,19,0.12,10,77,352,2,5.2,4.6,2.6,-5
Cardinals,49ers,16,5,30,0.3333333333333333,1.0,0.6285714285714286,0,0,0,154,8,34:39,0.3333333333333333,106,7,28,0.2,10,64,260,0,4.3,4.1,3.8,19,5,69,0.2,0.5,0.6585365853658537,0,0,1,282,14,25:21,0.25,73,4,20,0.5,10,62,355,1,6.7,5.7,3.7,1
Cardinals,Seahawks,18,7,46,0.4,1.0,0.6585365853658537,0,0,2,164,13,27:36,0.6666666666666666,89,2,17,0.16666666666666666,11,64,253,2,3.5,4.0,5.2,20,6,74,0.46153846153846156,0.0,0.6923076923076923,0,1,0,229,11,32:24,0.6666666666666666,155,6,35,0.23076923076923078,10,64,384,1,7.9,6.0,4.4,3
Cardinals,Titans,16,8,47,0.4375,0.0,0.71875,0,3,0,192,8,32:40,0.75,168,7,29,0.10714285714285714,12,64,360,3,5.5,5.6,5.8,20,6,35,0.3333333333333333,0.0,0.5384615384615384,0,1,1,249,12,27:20,0.5,78,6,24,0.125,13,65,327,2,6.1,5.0,3.3,1
Cardinals,Colts,25,7,65,0.6428571428571429,0.0,0.6136363636363636,0,0,1,312,17,32:05,0.5,88,7,24,0.25,10,70,400,1,6.8,5.7,3.7,25,5,40,0.5,0.0,0.7333333333333333,0,0,1,205,13,27:55,1.0,150,11,27,0.14285714285714285,10,58,355,1,6.6,6.1,5.6,4
Cardinals,Packers,23,6,55,0.5,0.0,0.6944444444444444,0,1,0,236,13,34:10,0.5,94,5,28,0.13953488372093023,9,70,330,1,5.6,4.7,3.4,19,10,94,0.3,0.6666666666666666,0.6551724137931034,0,0,0,168,10,25:50,0.75,94,5,23,0.09090909090909091,10,53,262,0,5.6,4.9,4.1,4
Cardinals,Cowboys,23,2,10,0.5384615384615384,0.0,0.6774193548387096,0,0,0,221,14,33:20,0.75,119,8,29,0.125,10,65,340,0,6.1,5.2,4.1,22,6,55,0.4166666666666667,0.0,0.6153846153846154,1,2,1,210,14,26:40,0.3333333333333333,123,8,21,0.125,9,65,333,3,4.8,5.1,5.9,-10
Cardinals,Seahawks,21,5,37,0.375,0.4,0.4888888888888889,0,2,0,206,13,26:20,0.5,129,7,23,0.09615384615384616,12,73,335,2,4.1,4.6,5.6,22,3,20,0.6,0.0,0.8333333333333334,2,2,1,174,6,33:40,0.5,198,14,46,0.25,11,59,372,3,13.4,6.3,4.3,22
Cardinals,49ers,24,17,130,0.42857142857142855,0.0,0.8245614035087719,0,1,2,452,18,34:15,0.6,36,5,14,0.0,11,71,488,3,7.9,6.9,2.6,24,1,15,0.3333333333333333,0.0,0.7307692307692307,0,0,0,186,13,25:45,0.8,95,8,25,0.07142857142857142,12,52,281,0,6.9,5.4,3.8,19
