team1,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush
49ers,23.0,3.8,22.2,0.48786164815576577,0.4666666666666666,0.7241346153846153,0.0,0.4,0.8,216.0,12.8,0.7333333333333334,113.2,9.0,31.2,0.0714285714285714,10.6,62.2,329.2,1.2,6.959999999999999,5.32,3.6199999999999997
Bears,22.0,4.8,40.0,0.45766259883906946,0.41666666666666663,0.5226984126984127,0.0,0.4,0.4,190.0,10.0,0.6833333333333333,165.8,10.4,34.2,0.112991452991453,11.4,70.2,355.8,0.8,5.3,5.1,4.8
Bengals,22.0,6.2,49.2,0.4903643724696356,0.4333333333333333,0.5954147664876035,0.4,0.6,1.2,271.6,14.0,0.5333333333333333,92.2,5.8,22.4,0.13071428571428567,10.8,65.2,363.8,1.8,6.279999999999999,5.62,4.0600000000000005
Bills,20.2,6.4,55.8,0.4540151515151515,0.67,0.6954207770064548,0.6,1.2,1.2,229.0,11.2,0.37,151.8,7.2,29.8,0.09148459383753497,10.2,63.6,380.8,2.4,6.9,6.08,5.08
Broncos,18.2,7.6,69.8,0.45,0.26666666666666666,0.6299455846824268,0.2,0.2,0.8,221.8,11.2,0.36,96.4,6.6,25.0,0.2702380952380952,10.6,64.0,318.2,1.0,5.58,4.92,3.78
Browns,16.2,6.8,54.2,0.29383116883116883,0.0,0.5411584249084249,0.2,0.8,0.6,174.6,7.2,0.4333333333333333,105.4,6.4,27.0,0.15826192997657323,12.6,59.2,280.0,1.4,5.5600000000000005,4.74,3.8200000000000003
Buccaneers,18.2,4.4,33.8,0.40542986425339367,0.49714285714285716,0.5664230343300111,0.0,0.2,0.8,159.8,7.4,0.5,142.4,9.0,31.0,0.11590909090909092,11.2,65.4,302.2,1.0,4.68,4.640000000000001,4.58
Cardinals,21.8,8.0,59.0,0.36488095238095236,0.14666666666666667,0.6573264221158958,0.2,0.8,0.8,296.6,15.4,0.5866666666666667,73.2,5.2,18.0,0.1615034965034965,11.2,68.4,369.8,1.6,5.86,5.4399999999999995,3.9200000000000004
Chargers,17.0,5.4,45.6,0.4431412241009764,0.26666666666666666,0.5969352486593865,0.0,0.4,0.8,151.8,7.8,0.47000000000000003,129.8,7.8,31.6,0.2001676919571656,11.2,63.4,281.6,1.2,4.779999999999999,4.38,3.9200000000000004
Chiefs,20.4,7.0,58.0,0.34464285714285714,0.6,0.5633537420238188,0.0,0.2,1.2,242.4,11.6,0.5166666666666666,106.8,6.8,25.4,0.24722222222222218,10.6,66.8,349.2,1.4,5.8,5.220000000000001,4.3
Colts,19.6,6.6,54.0,0.365061605061605,0.3,0.6242159727966179,0.0,1.0,1.2,216.2,10.8,0.6,125.4,7.0,25.6,0.11376712773556723,11.0,62.4,341.6,2.2,5.9399999999999995,5.42,4.36
Commanders,19.4,6.2,49.6,0.37873303167420813,0.6666666666666667,0.627909090909091,0.0,0.6,1.0,182.0,10.0,0.52,134.4,7.4,30.4,0.1622222222222222,9.0,62.2,316.4,1.6,5.8,5.0600000000000005,4.4
Cowboys,23.8,6.8,60.0,0.43916666666666665,0.4666666666666666,0.6727462844484121,0.2,1.0,1.0,294.2,15.6,0.47333333333333333,118.0,6.2,26.6,0.2783333333333333,10.4,67.8,412.2,2.0,7.32,6.1,4.54
Dolphins,18.8,4.4,37.6,0.2733333333333333,0.13333333333333333,0.6360144927536232,0.0,0.4,0.8,162.6,9.0,0.44000000000000006,171.2,9.2,31.2,0.10547226386806594,11.2,58.2,333.8,1.2,6.12,5.8,5.4
Eagles,16.2,8.6,66.4,0.3523717948717949,0.0,0.5706108597285068,0.0,1.0,1.0,208.8,10.2,0.36666666666666664,108.6,4.4,26.8,0.055788655788655786,11.8,60.8,317.4,2.0,6.12,5.26,4.2
Falcons,19.6,5.4,48.8,0.20477855477855478,0.3,0.5787841144362883,0.0,0.8,0.6,186.0,9.2,0.7,134.6,8.2,29.8,0.11388888888888886,11.8,60.4,320.6,1.4,6.1,5.3,4.5200000000000005
Giants,20.2,6.4,51.6,0.4274891774891775,0.26666666666666666,0.6430806198047577,0.0,0.6,0.4,231.6,9.6,0.37,132.2,8.6,31.0,0.20883982683982683,10.4,65.0,363.8,1.0,6.659999999999999,5.5200000000000005,4.42
Jaguars,21.0,7.6,63.4,0.3667599067599067,0.42000000000000004,0.59496375631018,0.2,0.6,1.0,191.6,10.8,0.7066666666666667,118.6,7.6,32.2,0.0794421952316689,11.6,61.0,310.2,1.6,6.640000000000001,5.08,3.6399999999999997
Jets,14.0,7.0,62.6,0.34572510822510816,0.3,0.5450174008997538,0.6,0.4,1.0,130.4,6.4,0.3333333333333333,104.0,6.6,26.4,0.1949106449106449,11.0,56.2,234.4,1.4,4.26,4.14,3.9
Lions,21.2,6.0,40.4,0.42756410256410254,0.2,0.6470731235437117,0.0,0.0,0.4,270.4,12.8,0.5266666666666666,153.0,7.6,25.2,0.1066930171277997,10.8,62.0,423.4,0.4,7.459999999999999,6.8,6.24
