team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_possession,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_possession,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush,total,spread,ML
Cardinals,Cowboys,23,2,10,0.5384615384615384,0.0,0.6774193548387096,0,0,0,221,14,33:20,0.75,119,8,29,0.125,10,65,340,0,6.1,5.2,4.1,22,6,55,0.4166666666666667,0.0,0.6153846153846154,1,2,1,210,14,26:40,0.3333333333333333,123,8,21,0.125,9,65,333,3,4.8,5.1,5.9,44,-10,1
Cardinals,Seahawks,21,5,37,0.375,0.4,0.4888888888888889,0,2,0,206,13,26:20,0.5,129,7,23,0.0961538461538461,12,73,335,2,4.1,4.6,5.6,22,3,20,0.6,0.0,0.8333333333333334,2,2,1,174,6,33:40,0.5,198,14,46,0.25,11,59,372,3,13.4,6.3,4.3,66,22,2
Cardinals,49ers,24,17,130,0.4285714285714285,0.0,0.8245614035087719,0,1,2,452,18,34:15,0.6,36,5,14,0.0,11,71,488,3,7.9,6.9,2.6,24,1,15,0.3333333333333333,0.0,0.7307692307692307,0,0,0,186,13,25:45,0.8,95,8,25,0.0714285714285714,12,52,281,0,6.9,5.4,3.8,63,19,2
Cardinals,Jaguars,25,7,53,0.3125,0.3333333333333333,0.68,1,0,0,271,15,37:26,0.3333333333333333,55,6,20,0.1363636363636363,12,76,326,0,4.8,4.3,2.8,18,7,60,0.2727272727272727,0.0,0.6,0,1,3,237,13,28:33,0.6,134,5,28,0.1578947368421052,14,61,371,4,7.2,6.1,4.8,51,3,2
Cardinals,Buccaneers,22,4,33,0.375,0.0,0.725,0,1,1,291,16,29:34,1.0,95,6,19,0.2,10,61,386,2,6.9,6.3,5.0,13,5,40,0.4375,1.0,0.6428571428571429,0,0,0,184,8,30:26,0.5,95,5,27,0.2,10,57,279,0,6.1,4.9,3.5,37,3,2
Cardinals,Rams,17,7,42,0.3333333333333333,0.0,0.5681818181818182,0,0,1,263,15,24:56,0.5,51,2,14,0.375,11,61,314,1,5.6,5.1,3.6,30,5,30,0.375,0.0,0.7096774193548387,0,0,0,281,13,35:04,0.75,249,15,36,0.0,11,67,530,0,9.1,7.9,6.9,62,28,2
Falcons,Patriots,17,5,40,0.1,0.6666666666666666,0.5945945945945946,0,0,0,217,13,25:55,1.0,71,3,16,0.25,10,54,288,0,5.7,5.3,4.4,23,2,15,0.6666666666666666,0.0,0.6551724137931034,0,1,1,221,14,34:05,0.75,110,9,33,0.1578947368421052,11,68,331,2,6.3,4.9,3.3,47,1,2
Falcons,Colts,22,3,35,0.0,0.0,0.4285714285714285,0,1,0,150,10,26:09,1.0,140,10,29,0.1111111111111111,13,60,290,1,4.8,4.8,4.8,25,7,56,0.1666666666666666,0.5,0.7307692307692307,0,1,1,196,10,40:20,0.5,323,15,41,0.1186440677966101,12,74,519,2,5.9,7.0,7.9,56,6,2
Falcons,Panthers,23,6,44,0.3636363636363636,0.0,0.6333333333333333,0,1,0,223,11,27:43,1.0,125,8,28,0.0,12,58,348,1,7.4,6.0,4.5,22,8,49,0.3529411764705882,0.6,0.6888888888888889,0,0,0,419,20,37:07,0.3333333333333333,67,2,25,0.1724137931034483,12,75,486,0,8.4,6.5,2.7,57,3,2
Falcons,Saints,13,9,82,0.25,1.0,0.6956521739130435,0,0,1,181,7,27:09,0.5,121,6,29,0.1666666666666666,12,55,302,1,7.0,5.5,4.2,21,4,36,0.3125,0.4,0.6666666666666666,1,1,1,214,11,32:51,0.0,79,8,28,0.1724137931034483,10,78,293,2,4.3,3.8,2.8,34,-14,1
Falcons,Jets,25,1,27,0.3333333333333333,0.0,0.6363636363636364,0,1,0,222,12,32:55,1.0,167,11,32,0.1666666666666666,11,67,389,1,6.3,5.8,5.2,16,9,59,0.4375,1.0,0.5757575757575758,0,0,0,159,8,27:05,0.6666666666666666,110,7,28,0.1538461538461538,13,63,269,0,4.5,4.3,3.9,51,3,2
Falcons,Seahawks,15,8,56,0.0769230769230769,0.5,0.5,0,1,2,154,6,28:40,0.0,120,6,31,0.125,11,62,274,3,5.0,4.4,3.9,20,6,60,0.4615384615384615,0.0,0.6666666666666666,1,0,1,236,11,31:20,0.5,129,6,26,0.1538461538461538,11,58,365,1,7.4,6.3,5.0,46,28,2
Ravens,Dolphins,18,5,56,0.3846153846153846,1.0,0.782608695652174,0,0,0,188,11,31:43,1.0,150,7,31,0.125,11,56,338,0,7.5,6.0,4.8,17,5,45,0.1666666666666666,0.6666666666666666,0.625,0,2,1,245,12,28:17,0.0,87,4,20,0.125,11,62,332,3,5.8,5.4,4.4,34,-22,1
